code_module,code_presentation,id_student,final_result,mean_score,delta,num_weeks,archetype
AAA,2013J,11391,Pass,21.357692307692307,-7.96153846153846,26.0,Steady Engager
AAA,2013J,28400,Pass,25.940625,-5.331250000000001,32.0,Steady Engager
AAA,2013J,30268,Withdrawn,34.650000000000006,-2.1000000000000014,2.0,Early Dropout
AAA,2013J,31604,Pass,33.275000000000006,-6.605555555555547,36.0,Steady Engager
AAA,2013J,32885,Pass,26.344827586206897,-4.912380952380953,29.0,Steady Engager
AAA,2013J,38053,Pass,30.38205128205128,-1.0715789473684154,39.0,Steady Engager
AAA,2013J,45462,Pass,27.853125,-0.8937499999999972,32.0,Steady Engager
AAA,2013J,45642,Pass,31.194285714285712,-5.249673202614389,35.0,Steady Engager
AAA,2013J,52130,Pass,31.131428571428568,-3.3702614379084928,35.0,Steady Engager
AAA,2013J,53025,Pass,36.12777777777777,-6.62222222222222,36.0,Steady Engager
AAA,2013J,57506,Pass,29.95161290322581,-7.327083333333334,31.0,Steady Engager
AAA,2013J,58873,Pass,31.185714285714287,-0.18790849673202814,35.0,Steady Engager
AAA,2013J,59185,Pass,30.254166666666666,-1.6916666666666664,24.0,Steady Engager
AAA,2013J,62155,Pass,34.48108108108109,-3.433918128654973,37.0,Steady Engager
AAA,2013J,63400,Pass,36.48461538461538,-3.7452631578947404,39.0,Steady Engager
AAA,2013J,65002,Withdrawn,23.78571428571429,-8.483333333333338,7.0,Early Dropout
AAA,2013J,70464,Pass,21.89230769230769,-4.553846153846152,26.0,Steady Engager
AAA,2013J,71361,Pass,33.24000000000001,-4.257189542483658,35.0,Steady Engager
AAA,2013J,74372,Fail,27.674999999999997,-5.25,8.0,Steady Engager
AAA,2013J,75091,Pass,33.97142857142857,0.18464052287581723,35.0,Steady Engager
AAA,2013J,77367,Pass,27.06896551724138,-5.266190476190481,29.0,Steady Engager
AAA,2013J,91265,Pass,31.73333333333334,-3.0777777777777757,36.0,Steady Engager
AAA,2013J,94961,Withdrawn,27.65714285714285,-7.949999999999996,7.0,Early Dropout
AAA,2013J,98094,Pass,29.958064516129035,-5.712916666666665,31.0,Steady Engager
AAA,2013J,100893,Pass,26.8125,-6.408333333333331,24.0,Steady Engager
AAA,2013J,101781,Pass,36.90270270270269,-4.105847953216383,37.0,Steady Engager
AAA,2013J,102806,Pass,36.23513513513514,-3.8371345029239734,37.0,Steady Engager
AAA,2013J,102952,Pass,24.462962962962962,-4.373626373626372,27.0,Steady Engager
AAA,2013J,104476,Pass,39.432432432432435,5.299415204678361,37.0,Steady Engager
AAA,2013J,106247,Withdrawn,26.899999999999995,-6.214285714285715,15.0,Steady Engager
AAA,2013J,106577,Pass,23.66190476190476,3.11545454545454,21.0,Steady Engager
AAA,2013J,110175,Pass,26.93666666666666,-4.366666666666667,30.0,Steady Engager
AAA,2013J,111717,Pass,33.98571428571429,-5.449346405228766,35.0,Steady Engager
AAA,2013J,113295,Pass,41.8945945945946,-8.178654970760242,37.0,Steady Engager
AAA,2013J,114017,Pass,30.805882352941172,-3.3416666666666615,17.0,Steady Engager
AAA,2013J,114999,Pass,30.28648648648649,-0.28596491228070064,37.0,Steady Engager
AAA,2013J,116541,Pass,32.396875,1.2562500000000085,32.0,Steady Engager
AAA,2013J,116692,Pass,29.583870967741937,-1.0129166666666656,31.0,Steady Engager
AAA,2013J,118983,Pass,26.021428571428565,-5.785714285714285,14.0,Steady Engager
AAA,2013J,123044,Pass,34.16764705882353,-8.88823529411765,34.0,Steady Engager
AAA,2013J,127582,Pass,33.003571428571426,-1.8500000000000014,28.0,Steady Engager
AAA,2013J,129955,Withdrawn,34.16111111111111,-13.544444444444444,18.0,Declining Engager
AAA,2013J,132976,Pass,22.62222222222222,2.7555555555555564,18.0,Steady Engager
AAA,2013J,134143,Distinction,30.959459459459467,2.063157894736836,37.0,Steady Engager
AAA,2013J,135335,Withdrawn,20.15,6.5,4.0,Early Dropout
AAA,2013J,135400,Withdrawn,26.89090909090909,-8.70666666666667,11.0,Steady Engager
AAA,2013J,137873,Pass,44.90857142857143,-5.290522875816983,35.0,Steady Engager
AAA,2013J,141355,Pass,31.599999999999998,-6.712499999999999,32.0,Steady Engager
AAA,2013J,141377,Withdrawn,21.416666666666668,13.433333333333335,6.0,Early Dropout
AAA,2013J,142326,Pass,33.10909090909092,0.8669117647058826,33.0,Steady Engager
AAA,2013J,144801,Pass,44.15128205128205,-3.0713157894736653,39.0,Steady Engager
AAA,2013J,145130,Pass,21.75,-2.3800000000000026,20.0,Steady Engager
AAA,2013J,146188,Fail,25.63125,-1.4625000000000021,16.0,Steady Engager
AAA,2013J,147756,Fail,23.22413793103448,-6.512857142857143,29.0,Steady Engager
AAA,2013J,147793,Withdrawn,23.2,-6.833333333333336,5.0,Early Dropout
AAA,2013J,148993,Withdrawn,36.72608695652173,-7.564393939393931,23.0,Steady Engager
AAA,2013J,151358,Pass,22.138461538461538,-3.116666666666667,13.0,Steady Engager
AAA,2013J,155550,Pass,29.751851851851853,-6.798351648351645,27.0,Steady Engager
AAA,2013J,155854,Pass,39.02051282051283,-1.8997368421052627,39.0,Steady Engager
AAA,2013J,155984,Withdrawn,27.326315789473686,-8.077777777777776,19.0,Steady Engager
AAA,2013J,157568,Pass,32.74444444444445,-1.91703296703297,27.0,Steady Engager
AAA,2013J,159954,Withdrawn,32.588235294117645,-11.568055555555556,17.0,Declining Engager
AAA,2013J,164259,Pass,24.691999999999997,1.7794871794871838,25.0,Steady Engager
AAA,2013J,167906,Pass,29.828125,-5.46875,32.0,Steady Engager
AAA,2013J,168936,Pass,24.873076923076926,-1.3923076923076856,26.0,Steady Engager
AAA,2013J,172112,Pass,36.47096774193548,2.7208333333333314,31.0,Steady Engager
AAA,2013J,172797,Pass,29.488235294117644,3.6470588235294095,34.0,Steady Engager
AAA,2013J,174782,Pass,49.91891891891892,-0.9476608187134516,37.0,Steady Engager
AAA,2013J,175392,Pass,40.98205128205127,-11.74526315789474,39.0,Declining Engager
AAA,2013J,175932,Pass,27.68857142857143,-10.77385620915032,35.0,Declining Engager
AAA,2013J,175991,Fail,23.983333333333334,5.166666666666664,12.0,Steady Engager
AAA,2013J,180753,Pass,34.47894736842105,-4.905263157894737,38.0,Steady Engager
AAA,2013J,181316,Withdrawn,24.475,-11.549999999999997,8.0,Early Dropout
AAA,2013J,183096,Pass,32.07575757575758,-0.7992647058823472,33.0,Steady Engager
AAA,2013J,183947,Pass,27.80384615384615,-0.6076923076923073,26.0,Steady Engager
AAA,2013J,184271,Pass,30.875757575757575,-4.438970588235293,33.0,Steady Engager
