code_module,code_presentation,id_student,edu_level,age_num,gender_num,disability_num,num_of_prev_attempts,studied_credits,result_num,total_clicks,mean_score,num_assessments
AAA,2013J,11391,3,2,1,0,0,240,2,934.0,82.0,5.0
AAA,2013J,28400,3,1,0,0,0,60,2,1435.0,66.4,5.0
AAA,2013J,30268,2,1,0,1,0,60,0,281.0,50.0,0.0
AAA,2013J,31604,2,1,0,0,0,60,2,2158.0,76.0,5.0
AAA,2013J,32885,1,0,0,0,0,60,2,1034.0,54.4,5.0
AAA,2013J,38053,2,1,1,0,0,60,2,2445.0,68.0,5.0
AAA,2013J,45462,3,0,1,0,0,60,2,1492.0,68.0,5.0
AAA,2013J,45642,2,0,0,0,0,120,2,1428.0,72.4,5.0
AAA,2013J,52130,2,0,0,0,0,90,2,1894.0,71.4,5.0
AAA,2013J,53025,4,2,1,0,0,60,2,3158.0,78.0,5.0
AAA,2013J,57506,1,1,1,0,0,60,2,1319.0,74.0,5.0
AAA,2013J,58873,2,0,0,0,0,60,2,1732.0,73.2,5.0
AAA,2013J,59185,1,1,1,0,0,60,2,1102.0,78.6,5.0
AAA,2013J,62155,3,0,0,0,0,60,2,3388.0,76.0,5.0
AAA,2013J,63400,1,1,1,0,0,60,2,2737.0,71.6,5.0
AAA,2013J,65002,2,0,0,0,0,60,0,171.0,67.0,2.0
AAA,2013J,70464,2,1,0,0,0,60,2,1053.0,55.6,5.0
AAA,2013J,71361,3,1,1,0,0,60,2,2327.0,80.4,5.0
AAA,2013J,74372,2,1,1,0,0,150,1,116.0,48.5,4.0
AAA,2013J,75091,2,1,1,0,0,60,2,2992.0,66.0,5.0
AAA,2013J,77367,2,0,1,0,0,60,2,680.0,70.4,5.0
AAA,2013J,91265,3,0,1,0,0,60,2,1494.0,70.8,5.0
AAA,2013J,94961,1,1,1,0,0,60,0,339.0,74.0,1.0
AAA,2013J,98094,1,1,1,0,0,60,2,2839.0,60.6,5.0
AAA,2013J,100893,2,0,1,0,0,60,2,744.0,68.4,5.0
AAA,2013J,101781,1,1,1,0,0,60,2,4104.0,72.6,5.0
AAA,2013J,102806,2,0,1,0,0,60,2,1944.0,78.0,5.0
AAA,2013J,102952,3,0,1,0,0,60,2,1150.0,76.6,5.0
AAA,2013J,104476,4,1,1,0,0,60,2,4777.0,79.6,5.0
AAA,2013J,106247,3,1,1,0,0,60,0,465.0,60.0,3.0
AAA,2013J,106577,1,0,1,0,0,60,2,733.0,53.4,5.0
AAA,2013J,110175,3,1,1,0,0,60,2,998.0,63.4,5.0
AAA,2013J,111717,3,1,0,0,0,60,2,2343.0,81.0,3.0
